id,Año,PBI,color
0,1998,-0.4,#012e40
1,1999,1.5,#025159
2,2000,2.7,#038c8c
3,2001,0.6,#03a696
4,2002,5.5,#012e40
5,2003,4.2,#025159
6,2004,5,#038c8c
7,2005,6.3,#03a696
8,2006,7.5,#012e40
9,2007,8.5,#025159
10,2008,9.1,#f28705
11,2009,1.1,#012e40
12,2010,8.3,#025159
13,2011,6.3,#038c8c
14,2012,6.1,#03a696
15,2013,5.9,#012e40
16,2014,2.4,#025159
17,2015,3.3,#038c8c
18,2016,4,#f28705
19,2017,2.5,#012e40
20,2018,4,#025159
21,2019,2.2,#038c8c
22,2020,-10.9,#03a696
23,2021,13.4,#012e40
24,2022,2.7,#025159
25,2023,-0.6,#038c8c
26,2024,3.1,#f28705
